direction,entry_time,entry_price,tp,sl,confidence,exit_price,exit_time,profit,exit_reason
SELL,2026-07-06T03:55:00,4165.29,4164.29,4165.79,0.5473337173461914,4164.29,2026-07-06T04:00:00,10,TP
SELL,2026-07-06T04:10:00,4163.28,4162.28,4163.78,0.505009651184082,4163.78,2026-07-06T04:15:00,-5,SL
SELL,2026-07-06T04:20:00,4163.057,4162.057,4163.557,0.5048108100891113,4162.057,2026-07-06T04:25:00,10,TP
SELL,2026-07-06T04:35:00,4159.483,4158.483,4159.983,0.5798273086547852,4159.983,2026-07-06T04:40:00,-5,SL
SELL,2026-07-06T04:45:00,4160.083,4159.083,4160.583,0.6126885414123535,4159.083,2026-07-06T04:50:00,10,TP
SELL,2026-07-06T04:55:00,4159.737,4158.737,4160.237,0.6164941787719727,4158.737,2026-07-06T05:00:00,10,TP
SELL,2026-07-06T05:30:00,4156.605,4155.605,4157.105,0.5031003952026367,4155.605,2026-07-06T05:35:00,10,TP
SELL,2026-07-06T05:40:00,4155.51,4154.51,4156.01,0.5644952058792114,4154.51,2026-07-06T05:45:00,10,TP
SELL,2026-07-06T05:50:00,4155.924,4154.924,4156.424,0.5426026582717896,4154.924,2026-07-06T05:55:00,10,TP
SELL,2026-07-06T06:05:00,4151.101,4150.101,4151.601,0.5404654741287231,4150.101,2026-07-06T06:10:00,10,TP
SELL,2026-07-06T06:20:00,4152.712,4151.712,4153.212,0.5661357641220093,4153.212,2026-07-06T06:25:00,-5,SL
SELL,2026-07-06T06:30:00,4156.961,4155.961,4157.461,0.5928648114204407,4155.961,2026-07-06T06:35:00,10,TP
SELL,2026-07-06T06:40:00,4155.698,4154.698,4156.198,0.7832822203636169,4154.698,2026-07-06T06:45:00,10,TP
SELL,2026-07-06T06:50:00,4151.791,4150.791,4152.291,0.6182646751403809,4150.791,2026-07-06T06:55:00,10,TP
SELL,2026-07-06T07:00:00,4152.949,4151.949,4153.449,0.5977679491043091,4151.949,2026-07-06T07:05:00,10,TP
SELL,2026-07-06T07:10:00,4150.862,4149.862,4151.362,0.5959552526473999,4151.362,2026-07-06T07:15:00,-5,SL
SELL,2026-07-06T07:20:00,4154.565,4153.565,4155.065,0.6381127238273621,4153.565,2026-07-06T07:25:00,10,TP
SELL,2026-07-06T07:30:00,4156.863,4155.863,4157.363,0.6649413108825684,4155.863,2026-07-06T07:35:00,10,TP
SELL,2026-07-06T07:40:00,4163.441,4162.441,4163.941,0.6936295032501221,4162.441,2026-07-06T07:45:00,10,TP
SELL,2026-07-06T07:50:00,4164.154,4163.154,4164.654,0.7245265245437622,4163.154,2026-07-06T07:55:00,10,TP
SELL,2026-07-06T08:00:00,4161.04,4160.04,4161.54,0.727325439453125,4161.54,2026-07-06T08:05:00,-5,SL
SELL,2026-07-06T08:10:00,4158.116,4157.116,4158.616,0.6872652173042297,4157.116,2026-07-06T08:15:00,10,TP
SELL,2026-07-06T08:20:00,4154.971,4153.971,4155.471,0.6727993488311768,4155.471,2026-07-06T08:25:00,-5,SL
SELL,2026-07-06T08:30:00,4154.143,4153.143,4154.643,0.6474623680114746,4153.143,2026-07-06T08:35:00,10,TP
SELL,2026-07-06T08:40:00,4149.179,4148.179,4149.679,0.5624926090240479,4148.179,2026-07-06T08:45:00,10,TP
SELL,2026-07-06T08:50:00,4152.294,4151.294,4152.794,0.636401355266571,4151.294,2026-07-06T08:55:00,10,TP
SELL,2026-07-06T09:00:00,4148.867,4147.867,4149.367,0.6229013204574585,4147.867,2026-07-06T09:05:00,10,TP
SELL,2026-07-06T09:10:00,4149.852,4148.852,4150.352,0.6314022541046143,4148.852,2026-07-06T09:15:00,10,TP
SELL,2026-07-06T09:20:00,4147.189,4146.189,4147.689,0.5196141600608826,4146.189,2026-07-06T09:25:00,10,TP
SELL,2026-07-06T09:30:00,4137.685,4136.685,4138.185,0.5133557319641113,4138.185,2026-07-06T09:35:00,-5,SL
SELL,2026-07-06T09:40:00,4139.499,4138.499,4139.999,0.5182056427001953,4139.999,2026-07-06T09:45:00,-5,SL
SELL,2026-07-06T09:50:00,4142.239,4141.239,4142.739,0.595292329788208,4142.739,2026-07-06T09:55:00,-5,SL
SELL,2026-07-06T10:00:00,4143.757,4142.757,4144.257,0.6617879867553711,4142.757,2026-07-06T10:05:00,10,TP
SELL,2026-07-06T10:10:00,4148.168,4147.168,4148.668,0.6701135635375977,4148.668,2026-07-06T10:15:00,-5,SL
SELL,2026-07-06T10:20:00,4150.055,4149.055,4150.555,0.7033636569976807,4149.055,2026-07-06T10:25:00,10,TP
SELL,2026-07-06T10:30:00,4154.014,4153.014,4154.514,0.6801041960716248,4153.014,2026-07-06T10:35:00,10,TP
SELL,2026-07-06T10:40:00,4154.291,4153.291,4154.791,0.736359715461731,4153.291,2026-07-06T10:45:00,10,TP
SELL,2026-07-06T10:50:00,4153.336,4152.336,4153.836,0.7398166656494141,4152.336,2026-07-06T10:55:00,10,TP
SELL,2026-07-06T11:00:00,4152.422,4151.422,4152.922,0.7048603296279907,4152.922,2026-07-06T11:05:00,-5,SL
SELL,2026-07-06T11:10:00,4154.711,4153.711,4155.211,0.7165267467498779,4153.711,2026-07-06T11:15:00,10,TP
SELL,2026-07-06T11:20:00,4156.586,4155.586,4157.086,0.7176430225372314,4155.586,2026-07-06T11:25:00,10,TP
SELL,2026-07-06T11:30:00,4157.319,4156.319,4157.819,0.7384845018386841,4156.319,2026-07-06T11:35:00,10,TP
SELL,2026-07-06T11:40:00,4153.568,4152.568,4154.068,0.6587135791778564,4152.568,2026-07-06T11:45:00,10,TP
SELL,2026-07-06T11:50:00,4155.239,4154.239,4155.739,0.8769855499267578,4154.239,2026-07-06T11:55:00,10,TP
SELL,2026-07-06T12:00:00,4156.563,4155.563,4157.063,0.9082731008529663,4157.063,2026-07-06T12:05:00,-5,SL
SELL,2026-07-06T12:10:00,4155.899,4154.899,4156.399,0.9006402492523193,4154.899,2026-07-06T12:15:00,10,TP
SELL,2026-07-06T12:20:00,4147.109,4146.109,4147.609,0.8013328313827515,4146.109,2026-07-06T12:25:00,10,TP
SELL,2026-07-06T12:30:00,4143.966,4142.966,4144.466,0.5798852443695068,4142.966,2026-07-06T12:35:00,10,TP
SELL,2026-07-06T12:45:00,4135.301,4134.301,4135.801,0.5116147994995117,4135.801,2026-07-06T12:50:00,-5,SL
SELL,2026-07-06T12:55:00,4139.621,4138.621,4140.121,0.550763726234436,4138.621,2026-07-06T13:00:00,10,TP
SELL,2026-07-06T16:15:00,4143.661,4142.661,4144.161,0.5223110318183899,4142.661,2026-07-06T16:20:00,10,TP
SELL,2026-07-06T16:25:00,4145.497,4144.497,4145.997,0.5495119094848633,4145.997,2026-07-06T16:30:00,-5,SL
SELL,2026-07-06T16:35:00,4149.362,4148.362,4149.862,0.5853453874588013,4148.362,2026-07-06T16:40:00,10,TP
SELL,2026-07-06T16:45:00,4150.376,4149.376,4150.876,0.6674394011497498,4150.876,2026-07-06T16:50:00,-5,SL
SELL,2026-07-06T16:55:00,4154.877,4153.877,4155.377,0.6428821086883545,4153.877,2026-07-06T17:00:00,10,TP
SELL,2026-07-06T17:05:00,4154.104,4153.104,4154.604,0.660822868347168,4153.104,2026-07-06T17:10:00,10,TP
SELL,2026-07-06T17:15:00,4151.453,4150.453,4151.953,0.6505049467086792,4150.453,2026-07-06T17:20:00,10,TP
SELL,2026-07-06T17:25:00,4155.529,4154.529,4156.029,0.6912940740585327,4156.029,2026-07-06T17:30:00,-5,SL
SELL,2026-07-06T17:35:00,4158.412,4157.412,4158.912,0.7077118754386902,4157.412,2026-07-06T17:40:00,10,TP
SELL,2026-07-06T17:45:00,4159.427,4158.427,4159.927,0.6800072193145752,4159.927,2026-07-06T17:50:00,-5,SL
SELL,2026-07-06T17:55:00,4161.198,4160.198,4161.698,0.7062859535217285,4160.198,2026-07-06T18:00:00,10,TP
SELL,2026-07-06T18:05:00,4156.469,4155.469,4156.969,0.5631607174873352,4155.469,2026-07-06T18:10:00,10,TP
SELL,2026-07-06T18:15:00,4160.951,4159.951,4161.451,0.6774985790252686,4161.451,2026-07-06T18:20:00,-5,SL
SELL,2026-07-06T18:25:00,4161.986,4160.986,4162.486,0.6720065474510193,4160.986,2026-07-06T18:30:00,10,TP
SELL,2026-07-06T18:35:00,4165.103,4164.103,4165.603,0.698119044303894,4164.103,2026-07-06T18:40:00,10,TP
SELL,2026-07-06T18:45:00,4164.24,4163.24,4164.74,0.6648907661437988,4163.24,2026-07-06T18:50:00,10,TP
SELL,2026-07-06T18:55:00,4164.018,4163.018,4164.518,0.7026828527450562,4163.018,2026-07-06T19:00:00,10,TP
SELL,2026-07-06T19:05:00,4160.847,4159.847,4161.347,0.8113293051719666,4159.847,2026-07-06T19:10:00,10,TP
SELL,2026-07-06T19:15:00,4160.987,4159.987,4161.487,0.8322693705558777,4161.487,2026-07-06T19:20:00,-5,SL
SELL,2026-07-06T19:25:00,4162.725,4161.725,4163.225,0.8464125990867615,4161.725,2026-07-06T19:30:00,10,TP
SELL,2026-07-06T19:35:00,4160.14,4159.14,4160.64,0.7678947448730469,4160.64,2026-07-06T19:40:00,-5,SL
SELL,2026-07-06T19:45:00,4163.234,4162.234,4163.734,0.7822045683860779,4163.734,2026-07-06T19:50:00,-5,SL
SELL,2026-07-06T19:55:00,4163.632,4162.632,4164.132,0.8388450145721436,4162.632,2026-07-06T20:00:00,10,TP
SELL,2026-07-06T20:05:00,4161.777,4160.777,4162.277,0.7587872743606567,4160.777,2026-07-06T20:15:00,10,TP
SELL,2026-07-06T20:20:00,4161.965,4160.965,4162.465,0.7550718784332275,4162.465,2026-07-06T20:25:00,-5,SL
SELL,2026-07-06T20:30:00,4164.32,4163.32,4164.82,0.819050669670105,4164.82,2026-07-06T20:35:00,-5,SL
SELL,2026-07-06T20:40:00,4163.134,4162.134,4163.634,0.790090024471283,4163.634,2026-07-06T20:45:00,-5,SL
