name,trades,win_rate,total_profit,profit_per_trade
BASELINE (No Filter),43900,66.32118451025057,217225.0,4.948177676537585
Confidence > 0.60,28036,63.60393779426452,127300.0,4.540590669139678
ADX M5>20 & H1>20,20191,68.47605368728642,106435.0,5.271408053092962
H1 Trend Filter Only,17367,69.14262682098233,93285.0,5.3713940231473485
H1 Aligned + Conf > 0.55,13441,67.67353619522358,69235.0,5.151030429283535
Multi: H1+Conf+ADX,10211,68.9354617569288,54530.0,5.34031926353932
H1 Aligned + H1 ADX > 25,9378,70.9106419279164,52860.0,5.63659628918746
H1 Aligned + Strong Momentum,8279,75.72170551999034,52640.0,6.35825582799855
