strategy,trades,win_rate_%,total_profit,profit_per_trade,profit_vs_baseline_%
Baseline (No Filter),43900,66.32118451025057,217225.0,4.948177676537585,100.0
Volatility > 2.0,30331,72.40117371665953,177745.0,5.860176057498928,81.82529635170906
H1 Trend Aligned,17367,69.14262682098233,93285.0,5.3713940231473485,42.94395212337438
Volatility > 2.0 + H1 Trend,12444,74.97589199614272,77730.0,6.246383799421408,35.78317412820808
Vol + H1 + ADX>20,9661,75.623641444985,61285.0,6.3435462167477485,28.212682702267234
