threshold,trade_count,win_rate,total_profit
0.5,43900,66.32118451025057,217225.0
0.55,35752,64.99776236294473,169810.0
0.6,28036,63.60393779426452,127300.0
0.65,21171,61.23943129752965,88620.0
0.7,16103,58.52946655902627,60860.0
0.75,12470,56.23095429029671,42830.0
